flight_id,origin,destination,departure_date,base_fare,seats_remaining,capacity,route_demand,season,is_weekend
PA101,Quebec City,Edmonton,2027-02-16,370.52,86,148,0.55,Regular,False
PA102,Ottawa,Winnipeg,2027-12-10,433.0,20,247,0.38,Vacation,True
PA103,Vancouver,Winnipeg,2027-01-28,244.08,8,216,0.26,Vacation,False
PA104,Calgary,Vancouver,2027-01-03,169.16,81,116,0.24,Vacation,True
PA105,Vancouver,Calgary,2027-07-15,790.3,177,291,0.31,Vacation,False
PA106,Vancouver,Calgary,2027-09-13,647.39,47,172,0.97,Regular,False
PA107,Ottawa,Winnipeg,2027-02-26,427.78,41,106,0.4,Regular,True
PA108,Ottawa,Winnipeg,2027-11-09,221.55,2,121,0.6,Regular,False
PA109,Ottawa,Montreal,2027-05-17,479.07,142,266,0.64,Regular,False
PA110,Ottawa,Winnipeg,2027-11-07,780.55,140,146,0.55,Regular,True
PA111,Ottawa,Vancouver,2027-12-25,747.61,162,247,0.93,Vacation,True
PA112,Ottawa,Toronto,2027-10-19,507.22,181,183,0.73,Regular,False
PA113,Toronto,Montreal,2027-10-23,568.11,250,283,0.58,Regular,True
PA114,Winnipeg,Quebec City,2027-11-02,727.87,145,208,0.42,Regular,False
PA115,Montreal,Vancouver,2027-12-11,113.08,96,183,0.37,Vacation,True
PA116,Ottawa,Calgary,2027-10-05,264.78,161,174,0.1,Regular,False
PA117,Calgary,Edmonton,2027-07-25,659.39,230,283,0.08,Vacation,True
PA118,Quebec City,Montreal,2027-06-17,113.95,154,236,0.92,Vacation,False
PA119,Winnipeg,Vancouver,2027-11-21,493.24,190,283,0.39,Regular,True
PA120,Quebec City,Calgary,2027-03-15,428.96,6,113,0.16,Regular,False
PA121,Montreal,Toronto,2027-02-15,794.11,199,241,0.2,Regular,False
PA122,Montreal,Ottawa,2027-06-27,368.2,64,233,0.89,Vacation,True
PA123,Toronto,Ottawa,2027-10-07,234.78,135,170,0.07,Regular,False
PA124,Toronto,Quebec City,2027-12-21,461.32,66,210,0.86,Vacation,False
PA125,Edmonton,Quebec City,2027-03-12,338.13,75,109,0.26,Regular,True
PA126,Quebec City,Calgary,2027-06-13,346.52,245,293,0.19,Vacation,True
PA127,Edmonton,Vancouver,2027-08-14,232.18,87,278,0.83,Vacation,True
PA128,Toronto,Quebec City,2027-03-05,226.83,158,217,0.64,Regular,True
PA129,Vancouver,Calgary,2027-01-07,627.72,59,112,0.59,Vacation,False
PA130,Calgary,Edmonton,2027-02-05,182.39,72,112,0.69,Regular,True
PA131,Winnipeg,Montreal,2027-04-10,375.98,78,105,0.89,Regular,True
PA132,Calgary,Toronto,2027-09-22,457.26,126,213,0.03,Regular,False
PA133,Calgary,Quebec City,2027-09-07,610.93,30,164,0.42,Regular,False
PA134,Toronto,Vancouver,2027-10-24,199.49,8,124,0.96,Regular,True
PA135,Toronto,Calgary,2027-08-12,616.52,9,172,0.38,Vacation,False
PA136,Vancouver,Ottawa,2027-02-25,568.94,71,106,0.41,Regular,False
PA137,Montreal,Calgary,2027-11-17,428.8,24,176,0.26,Regular,False
PA138,Vancouver,Toronto,2027-10-28,118.03,176,260,0.46,Regular,False
PA139,Winnipeg,Ottawa,2027-12-29,489.76,4,149,0.61,Vacation,False
PA140,Vancouver,Winnipeg,2027-09-06,680.36,67,122,0.14,Regular,False
PA141,Calgary,Ottawa,2027-07-20,426.48,134,157,0.18,Vacation,False
PA142,Calgary,Winnipeg,2027-02-17,661.14,45,113,0.23,Regular,False
